Project,Client,Title,Duration
SOS1920-24,,#13 Comprobar Sincronización con Github,03:14:42
SOS1920-24,,#19 Realizar la API_REST,03:03:35
SOS1920-24,,#20 Pruebas de POSTMAN,05:11:24
SOS1920-24,,#27 Correcciones de FrontEnd,05:36:19
SOS1920-24,,#7 Servidor nodejs que devuelva la hora,02:28:05
SOS1920-24,,Clone repositorie,00:17:30
SOS1920-24,,empezamos con la entrega L02,01:21:40
SOS1920-24,,feedback thursday 5 the  may,01:09:44
SOS1920-24,,heroku de un fallo pasa a otro,00:00:03
SOS1920-24,,heroku y el camino para no romper le ordenador ,03:27:47
SOS1920-24,,informarme parte 1,00:17:45
SOS1920-24,,"informarme parte 2, SE ME VA LA LUZ",04:46:21
SOS1920-24,,PELEA CON DELETE,00:18:38
SOS1920-24,,REUNION,01:48:47
SOS1920-24,,Trabajo,22:17:50
SOS1920-24,,Visualizacion del video y asimilacion de conceptos,02:16:41
SOS1920-24,,Working on Backlog programmed for 5 march 2020,01:54:59
SOS1920-24,,,71:16:29
,,#5 Create a new issue,00:01:00
,,prueba2,00:00:02
,,,00:00:15
